UNICODE;P;D;L;V;lat;long;y_proj;x_proj
1.29.11.1;1;29;11;1;-16.28446529;-71.65921371;-1926095.289;2825871.15
1.29.11.2;1;29;11;2;-16.28419238;-71.659369;-1926061.318;2825857.055
1.29.11.3;1;29;11;3;-16.28387632;-71.65936474;-1926024.266;2825861.606
1.29.11.4;1;29;11;4;-16.28352425;-71.65935064;-1925983.108;2825867.737
1.29.11.5;1;29;11;5;-16.28317218;-71.65933654;-1925941.95;2825873.867
1.29.11.6;1;29;11;6;-16.28350936;-71.65909796;-1925984.501;2825896.58
1.29.11.7;1;29;11;7;-16.28377348;-71.65892384;-1926017.674;2825912.924
1.29.11.8;1;29;11;8;-16.28405624;-71.65870322;-1926053.613;2825934.3
1.29.11.9;1;29;11;9;-16.28421644;-71.65889241;-1926070.068;2825910.785
1.29.11.10;1;29;11;10;-16.28439458;-71.65909119;-1926088.511;2825885.953
1.29.11.11;1;29;11;11;-16.2839419;-71.65845855;-1926043.231;2825963.515
1.29.11.12;1;29;11;12;-16.28377783;-71.6585779;-1926022.485;2825952.094
1.29.11.13;1;29;11;13;-16.28362596;-71.65844494;-1926006.309;2825969.125
1.29.11.14;1;29;11;14;-16.28348382;-71.658256;-1925991.97;2825992.379
1.29.11.15;1;29;11;15;-16.28333254;-71.65807628;-1925976.444;2826014.705
1.29.11.16;1;29;11;16;-16.28352359;-71.65796664;-1926000.237;2826024.678
1.29.11.17;1;29;11;17;-16.28361284;-71.65805201;-1926009.654;2826013.849
1.29.11.18;1;29;11;18;-16.28371064;-71.65817489;-1926019.608;2825998.657
1.29.11.19;1;29;11;19;-16.2837905;-71.65828818;-1926027.575;2825984.783
1.29.11.20;1;29;11;20;-16.28357681;-71.65876222;-1925996.594;2825933.781
1.29.11.21;1;29;11;21;-16.28346715;-71.65886361;-1925982.459;2825923.696
1.29.11.22;1;29;11;22;-16.28337743;-71.65881564;-1925972.522;2825930.29
1.29.11.23;1;29;11;23;-16.28330613;-71.65873987;-1925965.094;2825939.8
1.29.11.24;1;29;11;24;-16.28322603;-71.65864528;-1925956.866;2825951.557
1.29.11.25;1;29;11;25;-16.28315485;-71.65856015;-1925949.568;2825962.126
1.29.11.26;1;29;11;26;-16.28307475;-71.65846556;-1925941.34;2825973.883
1.29.11.27;1;29;11;27;-16.28300357;-71.65838044;-1925934.042;2825984.451
1.29.11.28;1;29;11;28;-16.28290553;-71.65827626;-1925923.827;2825997.526
1.29.11.29;1;29;11;29;-16.28306925;-71.65818495;-1925944.183;2826005.772
1.29.11.30;1;29;11;30;-16.28315838;-71.65827966;-1925953.469;2825993.886
1.29.11.31;1;29;11;31;-16.28321127;-71.65838324;-1925958.391;2825981.46
1.29.11.32;1;29;11;32;-16.28329136;-71.65847783;-1925966.618;2825969.703
1.29.11.33;1;29;11;33;-16.28336267;-71.6585536;-1925974.047;2825960.193
1.29.11.34;1;29;11;34;-16.28345191;-71.65863897;-1925983.463;2825949.365
1.29.11.35;1;29;11;35;-16.28316762;-71.65898113;-1925945.833;2825914.226
1.29.11.36;1;29;11;36;-16.28301234;-71.65911931;-1925925.885;2825900.556
1.29.11.37;1;29;11;37;-16.28295898;-71.65905313;-1925920.444;2825908.747
1.29.11.38;1;29;11;38;-16.28288768;-71.65897736;-1925913.015;2825918.257
1.29.11.39;1;29;11;39;-16.28283444;-71.65890183;-1925907.704;2825927.506
1.29.11.40;1;29;11;40;-16.28277216;-71.65882618;-1925901.332;2825936.886
1.29.11.41;1;29;11;41;-16.2827188;-71.65876;-1925895.89;2825945.077
1.29.11.42;1;29;11;42;-16.28266545;-71.65869383;-1925890.45;2825953.267
1.29.11.43;1;29;11;43;-16.28261209;-71.65862765;-1925885.008;2825961.458
1.29.11.44;1;29;11;44;-16.28277604;-71.65851764;-1925905.624;2825971.822
1.29.11.45;1;29;11;45;-16.28283832;-71.65859329;-1925911.995;2825962.442
1.29.11.46;1;29;11;46;-16.28289168;-71.65865947;-1925917.437;2825954.251
1.29.11.47;1;29;11;47;-16.28295395;-71.65873512;-1925923.807;2825944.872
1.29.11.48;1;29;11;48;-16.28301622;-71.65881077;-1925930.177;2825935.492
1.29.11.49;1;29;11;49;-16.28307861;-71.65887707;-1925936.677;2825927.171
1.29.11.50;1;29;11;50;-16.2825084;-71.65897225;-1925868.551;2825923.718
1.29.11.51;1;29;11;51;-16.28248204;-71.65819574;-1925875.11;2826012.107
1.29.11.52;1;29;11;52;-16.28211683;-71.65850876;-1925828.342;2825981.314
1.29.11.53;1;29;11;53;-16.28199158;-71.65841356;-1925814.821;2825993.721
1.29.11.54;1;29;11;54;-16.28182997;-71.65833657;-1925796.805;2826004.531
1.29.11.55;1;29;11;55;-16.28169581;-71.6582319;-1925782.356;2826018.127
1.29.11.56;1;29;11;56;-16.28157959;-71.65813682;-1925769.893;2826030.404
1.29.11.57;1;29;11;57;-16.28145422;-71.65805097;-1925756.242;2826041.753
1.29.11.58;1;29;11;58;-16.28132909;-71.65794642;-1925742.851;2826055.218
1.29.11.59;1;29;11;59;-16.28187491;-71.65763583;-1925810.792;2826083.412
1.29.11.60;1;29;11;60;-16.28206384;-71.65769449;-1925832.244;2826074.328
1.29.11.61;1;29;11;61;-16.28219741;-71.65784591;-1925846.043;2826055.439
1.29.11.62;1;29;11;62;-16.28323791;-71.65770096;-1925970.001;2826058.482
1.29.11.63;1;29;11;63;-16.28312743;-71.65786779;-1925954.956;2826040.987
1.29.11.64;1;29;11;64;-16.28298083;-71.65803414;-1925935.677;2826024.011
1.29.11.65;1;29;11;65;-16.28281722;-71.65811609;-1925915.45;2826016.824
1.29.11.66;1;29;11;66;-16.28264835;-71.65789874;-1925898.327;2826043.644
1.29.11.67;1;29;11;67;-16.28250633;-71.65770045;-1925884.119;2826067.957
1.29.11.68;1;29;11;68;-16.28237334;-71.65750228;-1925870.969;2826092.139
1.29.11.69;1;29;11;69;-16.28269305;-71.6572167;-1925912.054;2826120.407
1.29.11.70;1;29;11;70;-16.28286227;-71.657406;-1925929.568;2826096.763
1.29.11.71;1;29;11;71;-16.28302247;-71.65759519;-1925946.023;2826073.248
1.29.11.72;1;29;11;72;-16.28345524;-71.65693708;-1926005.014;2826142.302
1.29.11.73;1;29;11;73;-16.28413344;-71.65759146;-1926076.499;2826059.37
1.29.11.74;1;29;11;74;-16.2839519;-71.65766382;-1926054.286;2826053.502
1.29.11.75;1;29;11;75;-16.28387777;-71.65781244;-1926043.735;2826037.604
1.29.11.76;1;29;11;76;-16.28389256;-71.65735443;-1926051.166;2826089.348
1.29.11.77;1;29;11;77;-16.28472802;-71.65843174;-1926135.856;2825956.436
1.29.11.78;1;29;11;78;-16.28449052;-71.65864362;-1926105.339;2825935.468
1.29.11.79;1;29;11;79;-16.28439272;-71.65852073;-1926095.385;2825950.661
1.29.11.80;1;29;11;80;-16.28430383;-71.65840732;-1926086.359;2825964.665
1.29.11.81;1;29;11;81;-16.28418831;-71.65825614;-1926074.677;2825983.295
1.29.11.82;1;29;11;82;-16.28404653;-71.65803915;-1926060.729;2826009.724
1.29.11.83;1;29;11;83;-16.2842744;-71.6578739;-1926089.536;2826025.529
1.29.11.84;1;29;11;84;-16.28440786;-71.65803467;-1926103.206;2826005.581
1.29.11.85;1;29;11;85;-16.28457685;-71.65824268;-1926120.459;2825979.819
1.29.11.86;1;29;11;86;-16.28540683;-71.65831932;-1926216.946;2825960.444
1.29.11.87;1;29;11;87;-16.28537844;-71.65842181;-1926212.339;2825949.188
1.29.11.88;1;29;11;88;-16.28526972;-71.65844839;-1926199.245;2825947.574
1.29.11.89;1;29;11;89;-16.28515983;-71.65856848;-1926184.85;2825935.372
1.29.11.90;1;29;11;90;-16.28511339;-71.65867072;-1926178.127;2825924.377
1.29.11.91;1;29;11;91;-16.28500467;-71.65869731;-1926165.033;2825922.761
1.29.11.92;1;29;11;92;-16.28496737;-71.65879032;-1926159.497;2825912.695
1.29.11.93;1;29;11;93;-16.28478523;-71.65890943;-1926136.633;2825901.534
1.29.11.94;1;29;11;94;-16.28619273;-71.65759116;-1926318.266;2826032.892
1.29.11.95;1;29;11;95;-16.28619988;-71.65774087;-1926317.244;2826015.824
1.29.11.96;1;29;11;96;-16.28610019;-71.65776759;-1926305.208;2826014.078
1.29.11.97;1;29;11;97;-16.28606301;-71.65785125;-1926299.802;2826005.071
1.29.11.98;1;29;11;98;-16.28596332;-71.65787796;-1926287.767;2826003.325
1.29.11.99;1;29;11;99;-16.28593517;-71.65796174;-1926283.42;2825994.188
1.29.11.100;1;29;11;100;-16.28591605;-71.65804565;-1926280.132;2825984.92
1.29.11.101;1;29;11;101;-16.28582458;-71.65813793;-1926268.246;2825975.634
1.29.11.102;1;29;11;102;-16.28565182;-71.65822911;-1926246.83;2825967.519
1.29.11.103;1;29;11;103;-16.28551345;-71.65774097;-1926236.655;2826024.651
1.29.11.104;1;29;11;104;-16.28537646;-71.6578607;-1926219.083;2826012.838
1.29.11.105;1;29;11;105;-16.28518941;-71.65765244;-1926199.713;2826038.861
1.29.11.106;1;29;11;106;-16.28496706;-71.65737826;-1926177.018;2826072.813
1.29.11.107;1;29;11;107;-16.28504224;-71.65714549;-1926188.739;2826098.239
1.29.11.108;1;29;11;108;-16.28513125;-71.65724955;-1926197.895;2826085.294
1.29.11.109;1;29;11;109;-16.28522027;-71.65735362;-1926207.052;2826072.347
1.29.11.110;1;29;11;110;-16.28535372;-71.65751439;-1926220.72;2826052.399
1.29.11.111;1;29;11;111;-16.28506802;-71.65796876;-1926181.529;2826004.556
1.29.11.112;1;29;11;112;-16.28498428;-71.65816401;-1926169.27;2825983.495
1.29.11.113;1;29;11;113;-16.28482397;-71.65798417;-1926152.685;2826005.95
1.29.11.114;1;29;11;114;-16.28465674;-71.65763591;-1926137.382;2826047.593
1.29.11.115;1;29;11;115;-16.28447192;-71.65725002;-1926120.482;2826093.729
1.29.11.116;1;29;11;116;-16.28431699;-71.65736015;-1926100.924;2826083.235
1.29.11.117;1;29;11;117;-16.2842193;-71.65722791;-1926091.099;2826099.488
1.29.11.118;1;29;11;118;-16.28411282;-71.65707686;-1926080.477;2826117.986
1.29.11.119;1;29;11;119;-16.28399707;-71.65694438;-1926068.535;2826134.499
1.29.11.120;1;29;11;120;-16.28390806;-71.65684031;-1926059.379;2826147.445
1.29.11.121;1;29;11;121;-16.28401033;-71.65660791;-1926074.275;2826172.481
1.29.11.122;1;29;11;122;-16.28411705;-71.65674026;-1926085.159;2826156.1
1.29.11.123;1;29;11;123;-16.28417932;-71.65681591;-1926091.529;2826146.72
1.29.11.124;1;29;11;124;-16.28424077;-71.65695701;-1926096.988;2826129.929
1.29.11.125;1;29;11;125;-16.28434761;-71.65708002;-1926108.002;2826114.605
1.29.11.126;1;29;11;126;-16.28466626;-71.65687858;-1926147.917;2826133.345
1.29.11.127;1;29;11;127;-16.28439993;-71.65651029;-1926121.229;2826178.535
1.29.11.128;1;29;11;128;-16.28420584;-71.65614297;-1926103.01;2826222.684
1.29.11.129;1;29;11;129;-16.28412339;-71.65623538;-1926092.181;2826213.267
1.29.11.130;1;29;11;130;-16.28399544;-71.65635522;-1926075.669;2826201.326
1.29.11.131;1;29;11;131;-16.28389458;-71.65647543;-1926062.333;2826188.993
1.29.11.132;1;29;11;132;-16.28382081;-71.656596;-1926052.173;2826176.271
1.29.11.133;1;29;11;133;-16.28375583;-71.6567354;-1926042.811;2826161.301
1.29.11.134;1;29;11;134;-16.28350627;-71.6564702;-1926016.81;2826194.585
1.29.11.135;1;29;11;135;-16.28355389;-71.65627446;-1926024.834;2826216.168
1.29.11.136;1;29;11;136;-16.28366272;-71.65623852;-1926038.058;2826218.842
1.29.11.137;1;29;11;137;-16.28374564;-71.65610872;-1926049.407;2826232.493
1.29.11.138;1;29;11;138;-16.28388204;-71.65603575;-1926066.328;2826239.011
1.29.11.139;1;29;11;139;-16.28396496;-71.65590595;-1926077.677;2826252.662
1.29.11.140;1;29;11;140;-16.28392111;-71.65508244;-1926082.769;2826346.607
1.29.11.141;1;29;11;141;-16.28472692;-71.65564502;-1926170.378;2826272.439
1.29.11.142;1;29;11;142;-16.28521219;-71.65655864;-1926215.989;2826162.594
1.29.11.143;1;29;11;143;-16.28506606;-71.65668759;-1926197.229;2826149.854
1.29.11.144;1;29;11;144;-16.28491443;-71.65653593;-1926181.313;2826169.003
1.29.11.145;1;29;11;145;-16.28486177;-71.65641365;-1926176.651;2826183.547
1.29.11.146;1;29;11;146;-16.28464763;-71.65620503;-1926154.105;2826209.959
1.29.11.147;1;29;11;147;-16.28480302;-71.6560575;-1926174.183;2826224.687
1.29.11.148;1;29;11;148;-16.28511509;-71.65637965;-1926206.815;2826184.14
1.29.11.149;1;29;11;149;-16.28559546;-71.65624585;-1926264.875;2826193.127
1.29.11.150;1;29;11;150;-16.28546751;-71.6563657;-1926248.363;2826181.185
1.29.11.151;1;29;11;151;-16.28535188;-71.65622387;-1926236.551;2826198.756
1.29.11.152;1;29;11;152;-16.28521842;-71.6560631;-1926222.882;2826218.704
1.29.11.153;1;29;11;153;-16.28503148;-71.6558455;-1926203.641;2826245.785
1.29.11.154;1;29;11;154;-16.28513305;-71.65566919;-1926217.758;2826264.469
1.29.11.155;1;29;11;155;-16.28523965;-71.6558109;-1926228.511;2826247.028
1.29.11.156;1;29;11;156;-16.28536432;-71.65595285;-1926241.382;2826229.327
1.29.11.157;1;29;11;157;-16.28580011;-71.65649175;-1926285.843;2826162.61
1.29.11.158;1;29;11;158;-16.28565398;-71.6566207;-1926267.084;2826149.869
1.29.11.159;1;29;11;159;-16.28552614;-71.65673119;-1926250.701;2826138.987
1.29.11.160;1;29;11;160;-16.28538001;-71.65686014;-1926231.942;2826126.246
1.29.11.161;1;29;11;161;-16.28526132;-71.65696141;-1926216.748;2826116.291
1.29.11.162;1;29;11;162;-16.2859691;-71.65669976;-1926303.096;2826136.847
1.29.11.163;1;29;11;163;-16.28608497;-71.65682289;-1926315.168;2826121.394
1.29.11.164;1;29;11;164;-16.28617375;-71.65694565;-1926324.065;2826106.331
