type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31454912;-71.58419263;-1930563.284;2833990.333;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31427202;-71.58383526;-1930535.209;2834034.453;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31441917;-71.58360623;-1930555.356;2834058.523;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31432858;-71.58350414;-1930545.993;2834071.275;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31449954;-71.58323938;-1930569.383;2834099.089;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31402161;-71.58263495;-1930520.811;2834173.832;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.3149626;-71.58106908;-1930650.913;2834339.24;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31460698;-71.58087742;-1930611.544;2834365.584;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31352246;-71.58081053;-1930485.006;2834387.218;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31142283;-71.57949683;-1930254.84;2834563.412;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31146994;-71.5792372;-1930263.62;2834592.249;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31102588;-71.5789788;-1930214.697;2834627.309;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30996205;-71.57886936;-1930091.12;2834653.5;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30905553;-71.57884186;-1929984.994;2834668.359;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30831432;-71.5786833;-1929899.922;2834695.943;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30819746;-71.57833942;-1929890.498;2834736.46;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.3076177;-71.57794204;-1929827.374;2834789.04;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30665462;-71.57823936;-1929710.541;2834767.788;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30585136;-71.57944323;-1929601.145;2834641.64;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30579733;-71.5807863;-1929578.006;2834490.002;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.30855743;-71.58066653;-1929903.675;2834467.85;False; ; ;0; ; ; ; ; ; 
TRACK;1.- PEDRO VILCA TEXI ZONA I y III;  INTEGRANTES SORANA DE LOS ANGELES;-16.31031154;-71.58140909;-1930100.405;2834360.913;False; ; ;0; ; ; ; ; ; 
