type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,CL01_PP_107,-16.44523503205269,-71.52748350601871,-1946625.64954972,2838718.68762728,parque trebol de santa clara, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_108,-16.4440444848563,-71.52708951107931,-1946490.78258146,2838778.93466327,calle coscollo, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_109,-16.44102616666238,-71.52573358084754,-1946153.37000955,2838972.14997955,grifo tasahuayo, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_110,-16.44021384417994,-71.52694266481356,-1946042.67939898,2838845.72124171,colegio san benito de palermo, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_111,-16.44005868698888,-71.52864874804038,-1946002.90650393,2838654.35233278,una cuadra del mercado san martin desocabaya, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_112,-16.43777946179005,-71.53006481057646,-1945717.3024595,2838523.65332476,parque los toritos, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_113,-16.43003821458461,-71.53628003746708,-1944729.56647698,2837920.33934967,una cuadra ante de llegar al grifo J&amp;P, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_114,-16.43117247002933,-71.53586483348386,-1944868.0335732,2837952.57803092,parque pasaje san martin, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_115,-16.43595675161811,-71.53667897836418,-1945419.71220078,2837797.72907715,colegio 72 cerro salaverry, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_116,-16.44580451753628,-71.53515393403701,-1946595.65608175,2837841.77168744,cancha pedortiva ciudad mi trabajo, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_117,-16.44346788089217,-71.53016599349718,-1946384.19247002,2838437.7457238,colegio san martin de ocabaya, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_118,-16.43943071390996,-71.5325687551021,-1945879.64376117,2838218.20801543,Complejo Deportivo La Bombonera, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_119,-16.44064015001853,-71.53342555967733,-1946010.88510475,2838105.26113092,Santísima Cruz del Espíritu SantoCapilla, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_120,-16.44231549879814,-71.5297165654673,-1946254.50909244,2838503.77281674,I.E.I SAN MARTIN DE SOCABAYA, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_121,-16.45381049631746,-71.53578863533822,-1947527.98990269,2837665.04176598,Parque Zona B Bellapampa, , , , , , ,0, , , , , , , , , , , , , , , , , , , 
