UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.69.7192;6;92;69;7192;-16.35468534;-72.22665559;-1927371.845;2760754.179
6.92.69.7193;6;92;69;7193;-16.354604;-72.2264886;-1927364.344;2760774.064
6.92.69.7194;6;92;69;7194;-16.35451599;-72.22632079;-1927356.072;2760794.124
6.92.69.7195;6;92;69;7195;-16.3544331;-72.22615705;-1927348.349;2760813.66
6.92.69.7196;6;92;69;7196;-16.3543479;-72.22599331;-1927340.357;2760833.226
6.92.69.7197;6;92;69;7197;-16.35426038;-72.2258392;-1927331.977;2760851.733
6.92.69.7198;6;92;69;7198;-16.35417751;-72.22566343;-1927324.402;2760872.629
6.92.69.7199;6;92;69;7199;-16.35408308;-72.22549246;-1927315.417;2760893.127
6.92.69.7200;6;92;69;7200;-16.35401173;-72.22533115;-1927309.016;2760912.245
6.92.69.7201;6;92;69;7201;-16.35392192;-72.22516018;-1927300.571;2760932.684
6.92.69.7202;6;92;69;7202;-16.35367066;-72.2248759;-1927274.602;2760967.947
6.92.69.7203;6;92;69;7203;-16.35381162;-72.22478227;-1927292.228;2760976.762
6.92.69.7204;6;92;69;7204;-16.35396412;-72.22468866;-1927311.205;2760985.431
6.92.69.7205;6;92;69;7205;-16.35410734;-72.22463112;-1927328.659;2760990.14
6.92.69.7206;6;92;69;7206;-16.35425986;-72.22452307;-1927347.813;2761000.439
6.92.69.7207;6;92;69;7207;-16.35436554;-72.22491061;-1927355.498;2760955.333
6.92.69.7208;6;92;69;7208;-16.35444611;-72.22507915;-1927362.891;2760935.282
6.92.69.7209;6;92;69;7209;-16.35453594;-72.22523327;-1927371.542;2760916.745
6.92.69.7210;6;92;69;7210;-16.35462576;-72.22539943;-1927380.045;2760896.849
6.92.69.7211;6;92;69;7211;-16.35472249;-72.22557281;-1927389.27;2760876.05
6.92.69.7212;6;92;69;7212;-16.35479384;-72.22573653;-1927395.642;2760856.66
