ident;lat;long;y_proj;x_proj;new_seg
1.11.18-26;-16.37930147;-71.5106137;-1939093.097;2841493.399;False
1.11.18-26;-16.37886422;-71.51019015;-1939047.065;2841547.144;False
1.11.18-26;-16.37814862;-71.51112176;-1938951.253;2841450.826;False
1.11.18-27; ; ;-1.516416327;20763369.87; 
1.11.18-27;-16.37806969;-71.51106087;-1938942.748;2841458.762;False
1.11.18-27;-16.37880371;-71.51012703;-1939040.751;2841555.093;False
1.11.18-27;-16.37849941;-71.50988436;-1939008.058;2841586.587;False
1.11.18-27;-16.37778751;-71.51081601;-1938912.681;2841490.216;False
1.11.18-28; ; ;-1.516416327;20763369.87; 
1.11.18-28;-16.37774454;-71.51077463;-1938908.154;2841495.47;False
1.11.18-28;-16.37844855;-71.50982484;-1939002.833;2841594.002;False
1.11.18-28;-16.37815573;-71.5095936;-1938971.345;2841624.051;False
1.11.18-28;-16.37743285;-71.51051545;-1938874.802;2841528.934;False
1.11.18-29; ; ;-1.516416327;20763369.87; 
1.11.18-29;-16.37738362;-71.51047752;-1938869.496;2841533.878;False
1.11.18-29;-16.37811277;-71.50953234;-1938967.071;2841631.559;False
1.11.18-29;-16.37781435;-71.50930605;-1938934.862;2841661.12;False
1.11.18-29;-16.37706736;-71.51019428;-1938835.909;2841570.131;False
1.11.18-30; ; ;-1.516416327;20763369.87; 
1.11.18-30;-16.3784508;-71.50959486;-1939005.996;2841620.056;False
1.11.18-30;-16.37870618;-71.50929906;-1939039.727;2841650.27;False
1.11.18-30;-16.37820585;-71.50879761;-1938987.265;2841713.676;False
1.11.18-30;-16.3779483;-71.50909935;-1938953.204;2841682.815;False
1.11.19-4; ; ;-1.516416327;20763369.87; 
1.11.19-4;-16.3800861;-71.51394196;-1939143.339;2841105.687;False
1.11.19-4;-16.38022323;-71.51392761;-1939159.629;2841105.525;False
1.11.19-4;-16.38028117;-71.51389366;-1939166.864;2841108.618;False
1.11.19-4;-16.38044174;-71.51378638;-1939187.08;2841118.69;False
1.11.19-4;-16.38067677;-71.51360563;-1939216.969;2841136.121;False
1.11.19-4;-16.38077405;-71.51351568;-1939229.531;2841145.053;False
1.11.19-4;-16.380843;-71.51342873;-1939238.727;2841154.014;False
1.11.19-4;-16.38074217;-71.51337238;-1939227.591;2841161.721;False
1.11.19-4;-16.38003169;-71.51382536;-1939138.416;2841119.621;False
1.11.19-4;-16.37985907;-71.51376397;-1939118.908;2841128.836;False
1.11.19-4;-16.37982325;-71.51386025;-1939113.488;2841118.384;False
1.11.19-4;-16.37995465;-71.51392929;-1939128.055;2841108.84;False
1.11.19-5; ; ;-1.516416327;20763369.87; 
1.11.19-5;-16.37998638;-71.51380172;-1939133.39;2841122.894;False
1.11.19-5;-16.38011257;-71.51370025;-1939149.493;2841132.754;False
1.11.19-5;-16.38024714;-71.51362797;-1939166.214;2841139.196;False
1.11.19-5;-16.3806911;-71.51332603;-1939222.176;2841167.644;False
1.11.19-5;-16.38027348;-71.5130665;-1939176.383;2841202.53;False
1.11.19-5;-16.37984046;-71.51367187;-1939117.883;2841139.524;False
1.11.20-1; ; ;-1.516416327;20763369.87; 
1.11.20-1;-16.38068751;-71.5124134;-1939233.254;2841271.195;False
1.11.20-1;-16.38072206;-71.51244106;-1939236.965;2841267.607;False
1.11.20-1;-16.38083458;-71.51235728;-1939251.24;2841275.64;False
1.11.20-1;-16.38098201;-71.51211213;-1939271.649;2841301.519;False
1.11.20-1;-16.38026106;-71.5114804;-1939194.91;2841382.577;False
1.11.20-1;-16.37987959;-71.51192195;-1939144.531;2841337.477;False
1.11.20-1;-16.38017854;-71.51216454;-1939176.595;2841306.063;False
1.11.20-1;-16.38035102;-71.51238238;-1939194.113;2841279.106;False
1.11.20-1;-16.38048779;-71.51252357;-1939208.401;2841261.307;False
1.11.20-2; ; ;-1.516416327;20763369.87; 
1.11.20-2;-16.37984306;-71.51189019;-1939140.639;2841341.556;False
1.11.20-2;-16.38021247;-71.51144979;-1939189.588;2841386.682;False
1.11.20-2;-16.37983926;-71.5111291;-1939149.783;2841427.925;False
1.11.20-2;-16.37949018;-71.51158526;-1939103.024;2841380.747;False
1.11.20-3; ; ;-1.516416327;20763369.87; 
1.11.20-3;-16.37911018;-71.51239704;-1939048.151;2841293.639;False
1.11.20-3;-16.37936702;-71.51205254;-1939082.666;2841329.358;False
