"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.8.12.479A",1,8,"12","479A",-16.4450392767318,-71.5114679469648,-1946805.07914769,2840536.78109191
"1.8.12.484A",1,8,"12","484A",-16.4445145476284,-71.5114253426251,-1946743.97647222,2840548.48644741
"1.8.12.495A",1,8,"12","495A",-16.4439183569494,-71.5110222538838,-1946679.03702334,2840601.99482537
"1.8.12.497A",1,8,"12","497A",-16.4439342031058,-71.5108912744532,-1946682.55470112,2840616.63590836
"1.8.12.510A",1,8,"12","510A",-16.4444714312875,-71.5109972754885,-1946744.32427207,2840597.57971521
"1.8.12.515A",1,8,"12","515A",-16.4444532103779,-71.5113123916587,-1946738.19923179,2840562.09493884
"1.8.12.539A",1,8,"12","539A",-16.444694977984,-71.5101300815833,-1946781.5509814,2840692.96121603
"1.8.12.577A",1,8,"12","577A",-16.4445936081324,-71.5094713030908,-1946777.97349864,2840768.97326835
"1.8.12.577B",1,8,"12","577B",-16.444604282749,-71.5094917548823,-1946778.96885511,2840766.51482378
"1.8.12.612A",1,8,"12","612A",-16.4446476363141,-71.5084941961919,-1946796.6773624,2840879.03739093
"1.8.12.662A",1,8,"12","662A",-16.4438938800241,-71.5066035568178,-1946732.04087188,2841103.25494355
"1.8.12.67A",1,8,"12","67A",-16.4457925821826,-71.5170459724801,-1946823.04658623,2839894.56730747
"1.8.12.747A",1,8,"12","747A",-16.4443546861852,-71.5074111141457,-1946775.96085564,2841005.6636833
"1.8.12.808A",1,8,"12","808A",-16.4429806261379,-71.508440631681,-1946601.52284139,2840906.9550989
"1.8.12.80A",1,8,"12","80A",-16.4460110063129,-71.5168051765335,-1946851.74868809,2839919.00299372
"1.8.12.823A",1,8,"12","823A",-16.44291316644,-71.5097254788314,-1946577.35080408,2840762.17764395
"1.8.12.834A",1,8,"12","834A",-16.4429067534891,-71.5107294006441,-1946563.90344467,2840648.44910777
"1.8.12.845A",1,8,"12","845A",-16.4431373341925,-71.5107589251055,-1946590.61726772,2840642.08089803
"1.8.12.849A",1,8,"12","849A",-16.4430837968502,-71.5103013839644,-1946590.11334098,2840694.65270793
"1.8.12.857A",1,8,"12","857A",-16.4431778881957,-71.5094328719698,-1946612.1488182,2840791.88132817
"1.8.12.85A",1,8,"12","85A",-16.4454487039498,-71.5173074938934,-1946779.34565392,2839869.42541098
"1.8.12.876A",1,8,"12","876A",-16.4431928525743,-71.5104220498159,-1946601.39877387,2840679.54419722
"1.8.12.909A",1,8,"12","909A",-16.4436026833771,-71.5108621960685,-1946643.97765275,2840624.2761977
"1.8.12.919A",1,8,"12","919A",-16.4435536837915,-71.5110791143551,-1946635.47872394,2840600.32683737
"1.8.12.925A",1,8,"12","925A",-16.443424507915,-71.5117543690642,-1946611.76615942,2840525.46785719
"1.8.12.947A",1,8,"12","947A",-16.4432518912847,-71.5129750580789,-1946576.05509673,2840389.34437939
"1.8.12.961A",1,8,"12","961A",-16.4430721730717,-71.5131574600707,-1946552.63721702,2840371.02060105
"1.8.12.972A",1,8,"12","972A",-16.4430842301031,-71.512083430827,-1946567.63232662,2840492.62135963
"1.8.12.990A",1,8,"12","990A",-16.4424994952032,-71.5150165275784,-1946461.86245987,2840167.76810939
"1.8.12.708A",1,8,"12","708A",-16.4433425070515,-71.5076971757314,-1946653.43675796,2840986.49790307
"1.8.12.291A",1,8,"12","291A",-16.4456181862965,-71.5119945213202,-1946866.42661421,2840469.5003705
"1.8.12.291B",1,8,"12","291B",-16.4455622422673,-71.5118101380157,-1946862.18626177,2840491.13600706
"1.8.12.291C",1,8,"12","291C",-16.4455229272437,-71.511690117036,-1946859.0855021,2840505.25734235
"1.8.12.291D",1,8,"12","291D",-16.4454932551692,-71.5116071769709,-1946856.6486348,2840515.04865412
"1.8.12.291E",1,8,"12","291E",-16.4454705214063,-71.5115314433716,-1946854.93570378,2840523.93209545
"1.8.12.291F",1,8,"12","291F",-16.4454438842849,-71.5114495237864,-1946852.84245963,2840533.56796598
"1.8.12.291G",1,8,"12","291G",-16.4454207860039,-71.5113663998454,-1946851.18016401,2840543.29400468
"1.8.12.291H",1,8,"12","291H",-16.4453791932141,-71.5112469777226,-1946847.80427052,2840557.37735266
"1.8.12.291I",1,8,"12","291I",-16.4453647741871,-71.5111782781454,-1946846.97915581,2840565.35445387
"1.8.12.291J",1,8,"12","291J",-16.4453579550131,-71.5111150753141,-1946846.97731161,2840572.6088323
"1.8.12.291K",1,8,"12","291K",-16.4453543939102,-71.5110409040027,-1946847.49690637,2840581.06396964
"1.8.12.291L",1,8,"12","291L",-16.4453551378985,-71.5109469247543,-1946848.77271841,2840591.70823813
"1.8.12.649A",1,8,"12","649A",-16.4443915790081,-71.5051188267332,-1946809.2882915,2841265.05540284
"1.8.12.649B",1,8,"12","649B",-16.4443352470979,-71.5052824706753,-1946800.60065435,2841247.24143117
"1.8.12.700A",1,8,"12","700A",-16.4427626109367,-71.508656769794,-1946573.17830253,2840885.3085164
"1.8.12.700B",1,8,"12","700B",-16.4427751145695,-71.508568147237,-1946575.76784209,2840895.19173391
"1.8.12.700C",1,8,"12","700C",-16.4427787784903,-71.5084754851478,-1946577.37002501,2840905.64874536
"1.8.12.700D",1,8,"12","700D",-16.4427872293605,-71.5083820756972,-1946579.54401307,2840916.12776286
"1.8.12.701A",1,8,"12","701A",-16.4427971204756,-71.5082090464746,-1946582.8940545,2840935.61435039
"1.8.12.701B",1,8,"12","701B",-16.442817666004,-71.5081148661014,-1946586.49863605,2840946.02229243
"1.8.12.701C",1,8,"12","701C",-16.4428290264068,-71.5080365046737,-1946588.82415476,2840954.75721412
"1.8.12.701D",1,8,"12","701D",-16.4428523991798,-71.5079630654301,-1946592.49859142,2840962.77670221
"1.8.12.702A",1,8,"12","702A",-16.4429365996305,-71.5078078493868,-1946604.35295525,2840979.27008707
"1.8.12.1006A",1,8,"12","1006A",-16.4428840176307,-71.5154256067039,-1946501.86151455,2840116.35621326
"1.8.12.1006B",1,8,"12","1006B",-16.4427839435256,-71.5154346981234,-1946489.99084142,2840116.63638556
"1.8.12.1006C",1,8,"12","1006C",-16.4427118844335,-71.5154363420769,-1946481.50524494,2840117.39387841
"1.8.12.1006D",1,8,"12","1006D",-16.4426462845972,-71.5154317668112,-1946473.85703374,2840118.77180235
"1.8.12.1006E",1,8,"12","1006E",-16.4425528209855,-71.5154353029356,-1946462.83311801,2840119.59514407
"1.8.13.6A",1,8,"13","6A",-16.4423795151362,-71.5216888916438,-1946363.4415308,2839412.93951903
"1.8.13.31A",1,8,"13","31A",-16.4429928377578,-71.5218547355211,-1946433.39066144,2839386.10871595
"1.8.13.31B",1,8,"13","31B",-16.4429980378537,-71.5217459003413,-1946435.37675391,2839398.37823407
"1.8.13.31C",1,8,"13","31C",-16.4429775297153,-71.5216518977145,-1946434.15557622,2839409.30295472
"1.8.13.8A",1,8,"13","8A",-16.4425788768886,-71.5217432398058,-1946386.17309246,2839404.16821508
"1.8.13.56A",1,8,"13","56A",-16.4426618159007,-71.5239121134897,-1946368.51151757,2839157.21858737
"1.8.13.56B",1,8,"13","56B",-16.4426186283504,-71.5239051961286,-1946363.52589427,2839158.56814682
"1.8.13.246A",1,8,"13","246A",-16.4390521169465,-71.52463325271,-1945935.3884314,2839122.72224764
"1.8.13.254A",1,8,"13","254A",-16.4390123677645,-71.5241559635857,-1945936.74823566,2839177.34885885
"1.8.13.29A",1,8,"13","29A",-16.4422051482835,-71.5221947393771,-1946336.56763714,2839357.87918332
"1.8.13.29B",1,8,"13","29B",-16.442130000207,-71.5221824900424,-1946327.89506086,2839360.25168675
"1.8.13.29C",1,8,"13","29C",-16.442060193428,-71.5221762717971,-1946319.77369969,2839361.87056459
"1.8.13.29D",1,8,"13","29D",-16.4419794507315,-71.5221646200775,-1946310.43639036,2839364.24856531
"1.8.13.29E",1,8,"13","29E",-16.4419257595135,-71.5221532616571,-1946304.27300601,2839366.23913527
"1.8.13.29F",1,8,"13","29F",-16.4418242914844,-71.5221424091283,-1946292.49106952,2839368.79788419
"1.8.13.29G",1,8,"13","29G",-16.4417704419613,-71.5221351937157,-1946286.25673928,2839370.32086663
"1.8.13.29H",1,8,"13","29H",-16.4417041304476,-71.5221208216933,-1946278.64896956,2839372.81828979
"1.8.13.29I",1,8,"13","29I",-16.4416361028746,-71.5221096979934,-1946270.79857639,2839374.96994482
"1.8.13.29J",1,8,"13","29J",-16.4415688382957,-71.5220994358892,-1946263.02692136,2839377.01393637
"1.8.13.29K",1,8,"13","29K",-16.4414856800363,-71.5220885134311,-1946253.39663707,2839379.34087219
"1.8.13.29L",1,8,"13","29L",-16.4414143154663,-71.5220814006707,-1946245.10357628,2839381.0815231
"1.8.13.29M",1,8,"13","29M",-16.4413224152909,-71.5220701156669,-1946234.45098814,2839383.56400295
"1.8.13.93A",1,8,"13","93A",-16.4417929630716,-71.5231215050484,-1946276.44041207,2839258.21692539
"1.8.13.93B",1,8,"13","93B",-16.441800485806,-71.5230466979762,-1946278.26921845,2839266.59860825
"1.8.13.93C",1,8,"13","93C",-16.4418606943265,-71.522868154849,-1946287.59746003,2839286.05010807
"1.8.13.93D",1,8,"13","93D",-16.4418809029983,-71.5227733381048,-1946291.16926364,2839296.53401983
"1.8.13.93E",1,8,"13","93E",-16.4421654455764,-71.5226396835594,-1946326.28198009,2839307.9598263
"1.8.13.93F",1,8,"13","93F",-16.4422504284862,-71.522401045055,-1946339.27979256,2839333.89937301
"1.8.13.93G",1,8,"13","93G",-16.4424289084652,-71.5227207299525,-1946356.20581822,2839295.32294189
"1.8.13.96A",1,8,"13","96A",-16.441322740139,-71.5222511365447,-1946232.20198909,2839363.03895373
"1.8.13.96B",1,8,"13","96B",-16.4413766919052,-71.5222750155817,-1946238.23779145,2839359.62564223
"1.8.13.96C",1,8,"13","96C",-16.4415935956402,-71.5222976067073,-1946263.43119993,2839354.2249054
"1.8.13.96D",1,8,"13","96D",-16.4416587513707,-71.5223216589915,-1946270.78089161,2839350.6452635
"1.8.13.96E",1,8,"13","96E",-16.4417427121887,-71.5223406703609,-1946280.4032319,2839347.39085923
"1.8.13.96F",1,8,"13","96F",-16.4417783850934,-71.5225274800098,-1946282.23326981,2839325.74688769
"1.8.13.104A",1,8,"13","104A",-16.4414326911349,-71.5233475160766,-1946231.26542863,2839237.31276644
"1.8.13.104B",1,8,"13","104B",-16.4415158045248,-71.5233676996277,-1946240.7733788,2839233.936665
"1.8.14.5A",1,8,"14","5A",-16.4348975956339,-71.5190642006646,-1945517.71755506,2839808.43703946
"1.8.14.71A",1,8,"14","71A",-16.433919033663,-71.5164901187503,-1945435.28486513,2840113.06901733
"1.8.14.71B",1,8,"14","71B",-16.4339118334928,-71.5164406201318,-1945435.06441557,2840118.77496556
"1.8.14.96A",1,8,"14","96A",-16.4327672352434,-71.5148590856016,-1945320.58770056,2840313.06016899
"1.8.14.96B",1,8,"14","96B",-16.4327552871703,-71.5148929693913,-1945318.7560322,2840309.37509308
"1.8.14.96C",1,8,"14","96C",-16.4327285541325,-71.5149073574414,-1945315.43385413,2840308.09385177
"1.8.14.116A",1,8,"14","116A",-16.4321209582067,-71.5140437674016,-1945254.96881206,2840413.95591432
"1.8.14.132A",1,8,"14","132A",-16.4317237463041,-71.512841316702,-1945223.49965073,2840555.48284187
"1.8.14.159A",1,8,"14","159A",-16.432634271025,-71.5132706022129,-1945325.03827859,2840494.89220897
"1.8.14.220A",1,8,"14","220A",-16.4342031784173,-71.515610267189,-1945479.78011537,2840209.09866381
"1.8.14.230A",1,8,"14","230A",-16.4341673571971,-71.5158903592477,-1945472.03327395,2840177.8133302
"1.8.14.233A",1,8,"14","233A",-16.4340070355993,-71.5156867551857,-1945455.77248025,2840202.99498428
"1.8.14.233B",1,8,"14","233B",-16.4339878982306,-71.5156710529961,-1945453.72277107,2840205.02569771
"1.8.14.251A",1,8,"14","251A",-16.4347644927899,-71.515476559841,-1945547.40807857,2840216.90840799
"1.8.14.54A",1,8,"14","54A",-16.4337529538534,-71.5172414482528,-1945406.28330625,2840030.06452694
"1.8.14.74C",1,8,"14","74C",-16.4335853421625,-71.5164782162114,-1945396.23609046,2840118.78671204
"1.8.14.5B",1,8,"14","5B",-16.4348138319448,-71.5191182885128,-1945507.19461692,2839803.40163565
"1.8.14.5C",1,8,"14","5C",-16.4347502811438,-71.5191569019596,-1945499.24156056,2839799.85595052
"1.8.14.5D",1,8,"14","5D",-16.4346973486451,-71.5191941699619,-1945492.55282849,2839796.32380207
"1.8.14.5E",1,8,"14","5E",-16.4346370359812,-71.5192313375975,-1945484.99842493,2839792.89963011
"1.8.14.5F",1,8,"14","5F",-16.4345629692124,-71.5192753847632,-1945475.74143573,2839788.8755642
"1.8.14.5G",1,8,"14","5G",-16.4345070640729,-71.5193071576466,-1945468.77293621,2839786.00528377
"1.8.14.5H",1,8,"14","5H",-16.434446105152,-71.5193425841166,-1945461.16462257,2839782.78694765
"1.8.14.15A",1,8,"14","15A",-16.4345343115966,-71.5187844259269,-1945478.57709354,2839844.90996782
"1.8.14.15B",1,8,"14","15B",-16.4345898743521,-71.518858923708,-1945484.16291793,2839835.73695441
"1.8.14.15C",1,8,"14","15C",-16.4346385453408,-71.5189156201349,-1945489.16404671,2839828.67227294
"1.8.14.15D",1,8,"14","15D",-16.4346851598143,-71.5189713641969,-1945493.93562702,2839821.74248312
"1.8.14.25A",1,8,"14","25A",-16.434367641622,-71.5184932135009,-1945462.67723666,2839880.10605788
"1.8.14.34A",1,8,"14","34A",-16.434152287723,-71.5179630934358,-1945444.07657768,2839943.0243465
"1.8.14.34B",1,8,"14","34B",-16.4341804261619,-71.5180273247355,-1945446.57056931,2839935.37414428
"1.8.14.34C",1,8,"14","34C",-16.4341938215761,-71.5180952933387,-1945447.28548378,2839927.4932365
"1.8.14.34D",1,8,"14","34D",-16.4342127978203,-71.5181627687874,-1945448.66221062,2839919.59518893
"1.8.14.34E",1,8,"14","34E",-16.434240076243,-71.5182313137903,-1945451.00068421,2839911.46721678
"1.8.14.42A",1,8,"14","42A",-16.4339804102731,-71.5176210715769,-1945428.20687657,2839984.04915117
"1.8.14.42B",1,8,"14","42B",-16.4340319842268,-71.5176906246512,-1945433.38661505,2839975.48882082
"1.8.14.42C",1,8,"14","42C",-16.4340561236592,-71.5177503406723,-1945435.46788228,2839968.40284178
"1.8.14.42D",1,8,"14","42D",-16.4341055631008,-71.5178393765609,-1945440.15074865,2839957.66170435
"1.8.14.67A",1,8,"14","67A",-16.4335148654959,-71.5169541884166,-1945381.94391024,2840065.74794951
"1.8.14.67B",1,8,"14","67B",-16.4334557503073,-71.5170328366818,-1945374.00600806,2840057.60537687
"1.8.14.67C",1,8,"14","67C",-16.4333421827991,-71.5169476307228,-1945361.74155206,2840068.75185533
"1.8.14.67D",1,8,"14","67D",-16.4333660342915,-71.5171164294168,-1945362.41094615,2840049.30280782
"1.8.14.67E",1,8,"14","67E",-16.4334559744389,-71.5171853568347,-1945372.10552195,2840040.31114305
