cluster;name_point;code_point;lat;long;y_proj;x_proj
1; Recepciones Rocoto Arequipe�o (Av. Salaverry) (Puesto Itinerante);CL01_PP_072;-16.461487;-71.528195;-1948525622;2838425186
1; Colegio Santisimo Salvador (Av. Salaverry) (Puesto Itinerante);CL01_PP_073;-16.457147;-71.529253;-1948002475;2838362126
1; Parque De La Paloma (Puesto Itinerante);CL01_PP_074;-16.455491;-71.529512;-1947804689;2838354.46
1; Coliseo Lara;CL01_PP_075;-16.453998;-71.531234;-1947607561;2838178831
1; Parque_Lara;CL01_PP_076;-16.451885;-71.533054;-1947336377;2838000207
1; Plaza_De_Bellapampa;CL01_PP_077;-16.450965;-71.536274;-1947187.64;2837647277
1; Estadio Bellapampa (Calle Los Geranios Con Atahualpa);CL01_PP_078;-16.449172;-71.538219;-1946952479;2837450286
1; Interseccion Calle Tumbes Con Av. Las Pe�as;CL01_PP_079;-16.451019;-71.54005;-1947146293;2837218583
1; Interseccion Calle Sucre Con Av. Paisajista;CL01_PP_080;-16.453347;-71.538769;-1947435902;2837333307
1; Interseccion Lencio Prado Con Calle America;CL01_PP_081;-16.453284;-71.536504;-1947457113;2837590852
1; Urb. Las Magnolias- Ingreso Principal;CL01_PP_082;-16.454006;-71.535043;-1947560373;2837746995
1; Urb. Abelardo Qui�ones Capilla;CL01_PP_083;-16.455353;-71.537223;-1947691043;2837482274
1; Puesto De Salud Jean Frechet (Parque);CL01_PP_084;-16.455931;-71.538672;-1947740626;2837310476
1; Asoc_Urbanizacion;CL01_PP_085;-16.456958;-71.537723;-1947873.24;2837404.59
1; Urb. Los Claveles (Paradero Final De Combis);CL01_PP_086;-16.458844;-71.540554;-1948058989;2837059038
1; Cancha_Sintetica_Eco;CL01_PP_087;-16.460254;-71.541222;-1948216156;2836964.87
1; Parque Los Sapos;CL01_PP_088;-16.449034;-71.534744;-1946980158;2837845972
1; Parque_El_Mistiano;CL01_PP_089;-16.449017;-71.545081;-1946847635;2836674553
1; La Rinocnada (Frontera Hunter);CL01_PP_090;-16.451404;-71.549227;-1947075.65;2836173428
1; Mirador De Bellapampa-Los Molles (Movil);CL01_PP_091;-16.45957;-71.548328;-1948046067;2836168478
1; 2 Cuadras Abajo De La Comisaria Ciudad Mi Trabajo;CL01_PP_092;-16.448924;-71.53368;-1946980677;2837968014
1; Parque La Pradera I;CL01_PP_093;-16.458839;-71.52821;-1948214401;2838458.18
1; 2 Cuadras Del Terminal De 3 De Octubre;CL01_PP_094;-16.461008;-71.52384;-1948524429;2838925077
1; Parque Virgendel Carmen;CL01_PP_095;-16.460977;-71.522778;-1948534218;2839045856
1; Santa Cruz;CL01_PP_096;-16.461494;-71.521227;-1948614564;2839214881
1; Parque Escondido La Campi�a;CL01_PP_097;-16.457948;-71.518095;-1948237649;2839616372
1; Colegio La Campi�a;CL01_PP_098;-16.45652;-71.517385;-1948078887;2839715.57
1; 2 Cuadras Del Terminal De 4 De Octubre;CL01_PP_099;-16.451563;-71.514864;-1947528482;2840066309
1; Polleria El Juanito;CL01_PP_100;-16.454136;-71.51692;-1947804726;2839799526
1; Parque;CL01_PP_101;-16.455344;-71.517622;-1947937749;2839704119
1; Terminal De Combis Correcaminos;CL01_PP_102;-16.455053;-71.518059;-1947898039;2839658397
1; Loza Deportiva La Palizada;CL01_PP_103;-16.455844;-71.521226;-1947950905;2839289044
1; Cancha Jesus Nazareno;CL01_PP_104;-16.447931;-71.520845;-1947026219;2839435901
1; Loza Deportiva Residencial El Golf;CL01_PP_105;-16.453039;-71.526196;-1947558588;2838762439
1; Loza Deportiva Corredores Del Golf;CL01_PP_106;-16.452382;-71.52648;-1947477826;2838738853
1; Parque Trebol De Santa Clara;CL01_PP_107;-16.445235;-71.527484;-1946625.64;2838718632
1; Calle Coscollo;CL01_PP_108;-16.444044;-71.52709;-1946490719;2838778886
1; Grifo Tasahuayo;CL01_PP_109;-16.441026;-71.525734;-1946153345;2838972105
1; Colegio San Benito De Palermo;CL01_PP_110;-16.440214;-71.526943;-1946042693;2838845681
1; Una Cuadra Del Mercado San Martin Desocabaya;CL01_PP_111;-16.440059;-71.528649;-1946002.94;2838654.32
1; Parque Los Toritos;CL01_PP_112;-16.437779;-71.530065;-1945717246;2838523638
