cluster,name_point,code_point,lat,long,y_proj,x_proj
2, I.E_Mariano_Melgar,CL02_PP_063,-16.447344,-71.555836,-1946515.43,2835477477
2, Av. Berlin Con Calle Lisboa,CL02_PP_064,-16.445484,-71.556217,-1946292.18,2835458608
2, IE_Jacobo_Hunter,CL02_PP_065,-16.444131,-71.556597,-1946128487,2835433223
2, Jr. Buena Vista Con Av. Brasilia,CL02_PP_066,-16.445068,-71.557784,-1946223561,2835286447
2, Calle Buenos Aires Con Av. Brasilia,CL02_PP_067,-16.445522,-71.558295,-1946270435,2835222599
2, Calle Alfonso Ugarte Con Calle Chile,CL02_PP_068,-16.443578,-71.560666,-1946012231,2834979284
2, Calle Micaela Bastidas Pronoi (Movil),CL02_PP_069,-16.443289,-71.561467,-1945968192,2834892278
2, Parque Juventud Unida,CL02_PP_070,-16.442563,-71.560616,-1945893659,2834998211
2, Jose Carlos Mariategui Y Cooperativa Los Balcones (Movil),CL02_PP_071,-16.440677,-71.562275,-1945651253,2834834824
2, Belen Zona E,CL02_PP_072,-16.44013,-71.561238,-1945600085,2834959499
2, Calle Santos Chocano Con Calle Francisco Mostajo (Movil),CL02_PP_073,-16.439141,-71.560879,-1945488462,2835013106
2, Alto_Caminos_Del_Inca,CL02_PP_074,-16.438395,-71.562684,-1945378.1,2834818274
2, Caminos Del Inca Ampliacion Caminos Del Inca Y Altos Camino Del Inca,CL02_PP_075,-16.437443,-71.562326,-1945270809,2834871282
2, Calle Carlos Manchego Con Av. Las Americas (Movil),CL02_PP_076,-16.437842,-71.561433,-1945328923,2834967283
2, Asoc_Vista_Alegre,CL02_PP_077,-16.435668,-71.562758,-1945056908,2834845499
2, Losa_Deportiva_28_De_Julio,CL02_PP_078,-16.436527,-71.563388,-1945149.85,2834762878
2, Vista Alegre (Frente Al Grifo),CL02_PP_079,-16.435222,-71.562269,-1945010692,2834906746
2, Crece_La_Colina,CL02_PP_080,-16.437204,-71.560067,-1945271213,2835130437
2, Ovalo Hunter,CL02_PP_081,-16.44003,-71.559065,-1945615735,2835207089
2, Parque Quinhones,CL02_PP_082,-16.438595,-71.557644,-1945465.12,2835386892
2, Av. Irlanda Con Av. Italia,CL02_PP_083,-16.43793,-71.555734,-1945411101,2835612062
2, Calle_Girasoles,CL02_PP_084,-16.438211,-71.553646,-1945470431,2835845051
2, Parque_Arequipa,CL02_PP_085,-16.440235,-71.554858,-1945692857,2835681233
2, Mercado De Hunter,CL02_PP_086,-16.440198,-71.555689,-1945678032,2835587.53
2, Municipalidad_De_Jacobo_Hunter,CL02_PP_087,-16.441531,-71.558033,-1945805028,2835304445
2, Colegio Jean Harzic,CL02_PP_088,-16.442184,-71.55652,-1945900797,2835467393
2, Av. Brasilia Con Av. Vinha Del Mar,CL02_PP_089,-16.443213,-71.555841,-1946030209,2835530903
2, Comisaria Hunter,CL02_PP_090,-16.441408,-71.555027,-1945828488,2835646.75
2, I.E.P. Marianista Primaria,CL02_PP_091,-16.442548,-71.553493,-1945981722,2835805716
2, I.E.P Santa Sofia,CL02_PP_092,-16.443456,-71.55437,-1946077301,2835694449
2, Calle Egipto Con Calle Montevideo,CL02_PP_093,-16.443531,-71.553477,-1946097373,2835794681
2, Parque Quequenha (Movil),CL02_PP_094,-16.445057,-71.552533,-1946288502,2835881726
2, Colegio_Marianista_Secundaria,CL02_PP_095,-16.444124,-71.55173,-1946189056,2835984935
2, La Habana Con San Salvador,CL02_PP_096,-16.444239,-71.550213,-1946221.7,2836155.37
2, Parque En Calle Cartagena Con Jerusalen,CL02_PP_097,-16.445526,-71.550555,-1946368.54,2836099781
2, I.E_Juan Pablo_Vizcardo_Y_Guzman,CL02_PP_098,-16.44625,-71.551477,-1946441938,2835985816
2, Calle Miguel Grau Con Calle Bolognesi,CL02_PP_099,-16.447819,-71.550641,-1946636759,2836060052
2, Los Rosales,CL02_PP_100,-16.447766,-71.549169,-1946649.11,2836227.58
2, Parque Villa San Isidro,CL02_PP_101,-16.448132,-71.547977,-1946707139,2836357895
2, Av. La Amistad Con El Mistiano,CL02_PP_102,-16.447146,-71.547356,-1946599172,2836441174
2, Cruce_Los_Bosques,CL02_PP_103,-16.448236,-71.541744,-1946798033,2837062994
2, Asoc_Los_Bosques,CL02_PP_104,-16.443227,-71.545188,-1946166248,2836738152
