"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","strategy"
7,"VICTOR RAUL HINOJOSA",3,"Parque Pueblo Libre","CL03_PP_262",-16.4393891,-71.52449745,-1945976.687,2839133.706,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Losa Deportiva (Villa Hermosa)","CL03_PP_263",-16.4275835,-71.54617152,-1944316.488,2836831.134,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Puesto De Salud Salaverry","CL03_PP_264",-16.43509196,-71.53638401,-1945321.858,2837842.474,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque","CL03_PP_265",-16.41827046,-71.53778897,-1943328.305,2837903.063,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque Al Maestro","CL03_PP_266",-16.43180762,-71.52648282,-1945061.057,2839007.845,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque I.E.J.P. Vizcardo Y Guzman","CL03_PP_267",-16.43440751,-71.52456052,-1945390.727,2839191.752,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Losa Deportiva De Urb. Dolores","CL03_PP_268",-16.43771206,-71.52404742,-1945785.378,2839206.673,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque De La Acequia","CL03_PP_269",-16.41280986,-71.51715945,-1942947.083,2840313.347,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque Simon Bolivar","CL03_PP_270",-16.4449109,-71.51592928,-1946733.593,2840032.708,"Fixed","Propuesto"
7,"VICTOR RAUL HINOJOSA",3,"Parque Urb. Las Esmeraldas","CL03_PP_271",-16.4495503,-71.51257329,-1947321.02,2840352.361,"Fixed","Propuesto"
