name_point,cluster,code_point,lat,long,y_proj,x_proj
Local Social Las Lomas,22,CL22_PP_135,-16.36293178,-71.62837367,-1935692157,2828354247
Pronoei Ninhos Victoriosos,22,CL22_PP_136,-16.35895244,-71.62565761,-1935258913,2828713671
I.E. Luceritos Del Amanecer,22,CL22_PP_137,-16.36226981,-71.61754097,-1935749954,2829590771
Canchita Nueva Juventud,22,CL22_PP_138,-16.36522351,-71.63031849,-1935936901,2828104114
Iglesia Santisima Cruz De V. Copacabana,22,CL22_PP_139,-16.36437633,-71.62066501,-1935958198,2829209334
Parque Santa Rosa,22,CL22_PP_140,-16.34557429,-71.5584831,-1934529259,2836503668
Parque Belaundinos 2,22,CL22_PP_141,-16.34650192,-71.5576757,-1934648346,2836583181
Parque Victor Andres Belaunde,22,CL22_PP_142,-16.35328286,-71.5573052,-1935449467,2836537067
Cancha Deportiva (V. Copacabana Zona III),22,CL22_PP_143,-16.36721179,-71.62168938,-1936278297,2829056465
Estadio Nene Cubillas Peruarbo,22,CL22_PP_144,-16.34199677,-71.59878185,-1933604176,2831980304
Cancha Sintetica Campeones 1981,22,CL22_PP_145,-16.34308696,-71.60130165,-1933700666,2831680467
Parque Asoc. Villalobos Ampuero 2,22,CL22_PP_146,-16.34477525,-71.59075123,-1934030988,2832854856
Puesto De Salud Peruarbo,22,CL22_PP_147,-16.34536872,-71.60006022,-1933984147,2831791652
Mercado La Parada,22,CL22_PP_148,-16.3442196,-71.57834443,-1934121137,2834268914
Parque Entre V.A. Belaunde Y Villa Corpac,22,CL22_PP_149,-16.34400345,-71.55762158,-1934355559,2836621783
Parque,22,CL22_PP_150,-16.34546783,-71.55726402,-1934532048,2836643306
Parque,22,CL22_PP_151,-16.34744057,-71.55814553,-1934752703,2836517701
Parque (Av. Aeropuerto),22,CL22_PP_152,-16.35144789,-71.5604787,-1935194113,2836201.03
Parque (Villa Corpac),22,CL22_PP_153,-16.34665581,-71.5610244,-1934624411,2836201412
