"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","estratategy","X","X.1","X.2","X.3","X.4","X.5","X.6"
4,"PEDREGAL",35,"Feria Internacional Expomajes","CL35_PP_026",-16.33516029,-72.19762921,-1925437489,2764278408,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"Complejo Deportivo Sagitario","CL35_PP_027",-16.33827111,-72.20325499,-1925733594,2763603701,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"Complejo De Futbol San Francisco","CL35_PP_028",-16.33886481,-72.20290826,-1925807269,2763635454,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"Cancha Deportiva El Chicharito","CL35_PP_029",-16.33961036,-72.20478238,-1925871.88,2763414334,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"Complejo La Cantera","CL35_PP_030",-16.34154766,-72.20500978,-1926095866,2763364392,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"I.E Primaria Las Gardenias","CL35_PP_031",-16.34250973,-72.20814824,-1926170539,2762997695,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",35,"Local Social Las Gardenias","CL35_PP_032",-16.34279777,-72.20727503,-1926214801,2763092765,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
