n_microred;microred;cluster;point_name;code_point;lat;long;y_proj;x_proj;type_point;estratategy
20;MARITZA CAMPOS;24; Punto 34 (Referencial);CL24_PP_049;-16.324955;-71.566365;-1932008588;2835877431;Fixed;Establecido
20;MARITZA CAMPOS;24; Punto 35 (Referencial);CL24_PP_050;-16.324963;-71.563936;-1932039955;2836152825;Fixed;Establecido
20;MARITZA CAMPOS;24; Punto 36 (Referencial);CL24_PP_051;-16.323583;-71.564541;-1931870286;2836102107;Fixed;Establecido
20;MARITZA CAMPOS;24; Losa_Deportiva_Las_Torres;CL24_PP_052;-16.322476;-71.566572;-1931714823;2835886107;Fixed;Propuesto
20;MARITZA CAMPOS;24; Losa_Deportiva_Aldo_Moro;CL24_PP_053;-16.323982;-71.567866;-1931875504;2835719809;Fixed;Propuesto
20;MARITZA CAMPOS;24; Parque_Maria_Auxiliadora;CL24_PP_054;-16.325444;-71.567822;-1932047774;2835705837;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 37 (Referencial);CL24_PP_055;-16.326151;-71.569936;-1932104337;2835456902;Fixed;Establecido
20;MARITZA CAMPOS;24; Parque_Alipio_Ponce;CL24_PP_056;-16.326968;-71.571404;-1932181.91;2835279812;Fixed;Propuesto
20;MARITZA CAMPOS;24; Parque_Las_Flores_I;CL24_PP_057;-16.328117;-71.570899;-1932323187;2835322184;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 38 (Referencial);CL24_PP_058;-16.328624;-71.568533;-1932412371;2835583947;Fixed;Establecido
20;MARITZA CAMPOS;24; Punto 39 (Referencial);CL24_PP_059;-16.329341;-71.570636;-1932470243;2835336135;Fixed;Establecido
20;MARITZA CAMPOS;24; Punto 40 (Referencial);CL24_PP_060;-16.330685;-71.568375;-1932656422;2835575128;Fixed;Establecido
20;MARITZA CAMPOS;24; Parque_Zona_IV;CL24_PP_061;-16.331611;-71.569127;-1932755762;2835477827;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 41 (Referencial);CL24_PP_062;-16.330973;-71.570573;-1932662713;2835322109;Fixed;Establecido
20;MARITZA CAMPOS;24; Losa_Deportiva_Las_Flores_III;CL24_PP_063;-16.330427;-71.571322;-1932589202;2835244247;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 42 (Referencial);CL24_PP_064;-16.331265;-71.572259;-1932675889;2835127109;Fixed;Establecido
20;MARITZA CAMPOS;24; Punto 43 (Referencial);CL24_PP_065;-16.328966;-71.573166;-1932394511;2835054065;Fixed;Establecido
20;MARITZA CAMPOS;24; Mercado_Andres_Avelino_Caceres;CL24_PP_066;-16.329496;-71.574362;-1932441782;2834911.55;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 44 (Referencial);CL24_PP_067;-16.331061;-71.575645;-1932609522;2834745749;Fixed;Establecido
20;MARITZA CAMPOS;24; Cancha_Sintetica_Sportimax;CL24_PP_068;-16.332681;-71.57449;-1932814254;2834855724;Fixed;Propuesto
20;MARITZA CAMPOS;24; Punto 45 (Referencial);CL24_PP_069;-16.334277;-71.579077;-1932944252;2834314827;Fixed;Establecido
20;MARITZA CAMPOS;24; Cancha De Tierra;CL24_PP_070;-16.322048;-71.569078;-1931633.17;2835607425;Fixed;Propuesto
20;MARITZA CAMPOS;24; Parque;CL24_PP_071;-16.325011;-71.569738;-1931972.92;2835494144;Fixed;Propuesto
20;MARITZA CAMPOS;24; Comisaria De Familia;CL24_PP_072;-16.33303;-71.555191;-1933097103;2837039985;Fixed;Propuesto
20;MARITZA CAMPOS;24;IEI Los Patitos;CL24_PP_073;-16.332294;-71.556497;-1932994277;2836901415;Fixed;Propuesto
20;MARITZA CAMPOS;24; Asoc Las Flores Zona 7;CL24_PP_074;-16.330692;-71.567134;-1932672792;2835715785;Fixed;Propuesto
20;MARITZA CAMPOS;24; I.E Jesus Es Mi Pastor;CL24_PP_075;-16.32675;-71.568647;-1932190836;2835595327;Fixed;Propuesto
20;MARITZA CAMPOS;24;Losa Deportiva Villa Santa Isabel;CL24_PP_076;-16.33583155;-71.580554;-1933108329;2834127169;Fixed;Propuesto
20;MARITZA CAMPOS;24;Complejo Deportivo Recreacional Andres Avelino Caceres;CL24_PP_077;-16.33174034;-71.57616172;-1932682838;2834678337;Fixed;Propuesto
20;MARITZA CAMPOS;24;Parque Las Flores;CL24_PP_078;-16.33161572;-71.57087591;-1932734407;2835279418;Fixed;Propuesto
20;MARITZA CAMPOS;24;Colegio Jorge Chavez;CL24_PP_079;-16.3239645;-71.54462653;-1932164695;2838356014;Fixed;Propuesto
20;MARITZA CAMPOS;24;Losa Deportiva Nazareno;CL24_PP_080;-16.32900254;-71.5499954;-1932689174;2837681592;Fixed;Propuesto
20;MARITZA CAMPOS;24;Local Social El Eden;CL24_PP_081;-16.32976274;-71.55599544;-1932703239;2836991168;Fixed;Propuesto
20;MARITZA CAMPOS;24;Losa Deportiva Las Flores Zn 2;CL24_PP_082;-16.32882059;-71.56819008;-1932439758;2835620289;Fixed;Propuesto
20;MARITZA CAMPOS;24;Parque Las Flores Zn 7;CL24_PP_083;-16.33160472;-71.56614154;-1932792.43;2835816.5;Fixed;Propuesto
20;MARITZA CAMPOS;24;Parque Las Flores VI 2;CL24_PP_084;-16.32812059;-71.56443151;-1932404627;2836055657;Fixed;Propuesto
20;MARITZA CAMPOS;24;Parque Las Flores VI 1;CL24_PP_085;-16.32931831;-71.56395033;-1932551336;2836094.69;Fixed;Propuesto
20;MARITZA CAMPOS;24;Complejo Deportivo Lolo Fernandez;CL24_PP_086;-16.32888868;-71.56714492;-1932460848;2835737943;Fixed;Propuesto
20;MARITZA CAMPOS;24;I.E. Las Flores;CL24_PP_087;-16.3300565;-71.56507457;-1932623953;2835957603;Fixed;Propuesto
20;MARITZA CAMPOS;24;Losa Deportiva;CL24_PP_088;-16.33270301;-71.55518582;-1933058759;2837044819;Fixed;Propuesto
20;MARITZA CAMPOS;24;I.E. Cristo Rey - Circa;CL24_PP_089;-16.32571827;-71.54857588;-1932321182;2837885257;Fixed;Propuesto
20;MARITZA CAMPOS;24;C.S . Nazareno;CL24_PP_090;-16.32827736;-71.54944796;-1932610855;2837753105;Fixed;Propuesto
