"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.18.27.57E",1,18,"27","57E",-16.4216326926476,-71.5605890387836,-1943435.89745349,2835274.54812957
"1.18.28.1A",1,18,"28","1A",-16.4430057189517,-71.5731510226973,-1945787.66452652,2833571.8130878
"1.18.28.26A",1,18,"28","26A",-16.4388859213936,-71.570288285694,-1945339.9298276,2833950.03160803
"1.18.28.42A",1,18,"28","42A",-16.4371753742669,-71.568972368408,-1945155.62976075,2834121.49946733
"1.18.28.55A",1,18,"28","55A",-16.4339743896422,-71.5677556757218,-1944795.04484822,2834301.17899936
"1.18.28.55B",1,18,"28","55B",-16.433841914789,-71.5676792388817,-1944780.45025328,2834311.57135084
"1.18.28.63A",1,18,"28","63A",-16.4329060444083,-71.5671411747005,-1944677.32195118,2834384.7702497
"1.18.28.66A",1,18,"28","66A",-16.4329919722682,-71.5663949419049,-1944696.81355215,2834468.22606414
"1.18.28.66B",1,18,"28","66B",-16.4330756468154,-71.5664680318815,-1944705.71939368,2834458.84988568
"1.18.28.66C",1,18,"28","66C",-16.4331785435597,-71.5665387638221,-1944716.91235363,2834449.49006319
"1.18.28.66D",1,18,"28","66D",-16.4332803095005,-71.5666094957346,-1944727.97250682,2834440.14501046
"1.18.28.66E",1,18,"28","66E",-16.4332271688172,-71.5669902752705,-1944716.93497066,2834397.68150923
"1.18.28.66F",1,18,"28","66F",-16.4336545818184,-71.5668947818888,-1944768.33237721,2834402.92558453
"1.18.28.66G",1,18,"28","66G",-16.4337880079361,-71.5669678715512,-1944783.08089197,2834392.90007218
"1.18.28.66H",1,18,"28","66H",-16.4339757090129,-71.5670291720732,-1944804.35183405,2834383.50225712
"1.18.28.66I",1,18,"28","66I",-16.4341464496032,-71.5672001091431,-1944822.24979416,2834361.89983568
"1.18.28.66J",1,18,"28","66J",-16.4347118129864,-71.5673215307742,-1944887.11497606,2834340.75820657
"1.18.28.66K",1,18,"28","66K",-16.4346089187358,-71.5675903183977,-1944871.64522699,2834311.63763317
"1.18.28.68A",1,18,"28","68A",-16.4306017845392,-71.5666741726786,-1944412.5965427,2834467.77486947
"1.18.28.68B",1,18,"28","68B",-16.4305729572003,-71.5665980212406,-1944410.17028347,2834476.78217859
"1.18.28.68C",1,18,"28","68C",-16.4305328488068,-71.5665103889775,-1944406.56380412,2834487.23797421
"1.18.28.68D",1,18,"28","68D",-16.4305031298111,-71.5664330323092,-1944404.04801281,2834496.39353665
"1.18.28.68E",1,18,"28","68E",-16.4304718995144,-71.5663536638084,-1944401.38007807,2834505.79685363
